member_casual,weekday,day_of_week,number_of_rides,average_duration,median_duration,max_duration
casual,Monday,1,215299,1466.9029256986796,814.0,1922127
member,Monday,1,387370,715.6502723494334,510.0,89594
casual,Tuesday,2,203095,1263.865250252345,718.0,349801
member,Tuesday,2,434004,700.2550805983356,510.0,87722
casual,Wednesday,3,208054,1221.2367173906773,715.0,835693
member,Wednesday,3,427602,705.9036159793453,519.0,88415
casual,Thursday,4,233376,1262.9018665158371,735.0,607571
member,Thursday,4,427665,716.3708650462395,522.0,88538
casual,Friday,5,251968,1329.3054078295656,785.0,597741
member,Friday,5,371170,727.6552981113775,523.0,89872
member,Saturday,6,347103,836.0620680316794,597.0,86997
casual,Saturday,6,371778,1593.594526841287,952.0,2061244
member,Sunday,7,310117,827.1995666151807,583.0,88602
casual,Sunday,7,309228,1617.68408746944,957.0,648433
